	标点
夜课	事情 学习 教 教育 时间 夜
开口	物形 凹 线
开口	使锋利
开口	说
轻佻的女子	人 女 浮
爬山虎	花草
忠于职守	忠孝 事务 职位 赚 活着
合股公司	场所 经济
帮工	帮助 事务
帮工	人 帮助
势派	境况 事件 万物
势派	风度 人
站牌	标志 设施 搬动 车 人工物 人 装载 车 人工物 人
顽固分子	人 呆
步人后尘	模仿
处事	处理 事务
把式	人 能
把式	方法
交并	发生 同步
气垫	用具 嵌入
申诉	控告 警
核武	武器 军
盗	人 有罪 抢
盗	抢
盗	偷
单身贵族	人 未婚
小巫见大巫	不如
导火索	用具 线 传送 火
妄下雌黄	评估 莽
高粱米	材料 食物 庄稼
荦荦	清晰
偿付能力	能力 群体 人 还
指甲锉	用具 变形状 部件 部件 手 人 平
敬茶	给 有礼 饮品
杂乱无章	没条理
能屈能伸	能够 知道 时间 满意 屈服
起外号	编辑 姓名 实体 另
嫁	嫁
嫁	给
星期四	时间 日 周 特定
地头蛇	人 卑劣 暴 有罪
不好不坏	中等
如泣如诉	悲哀
废弃	放弃
灵便	便
灵便	捷
扬帆	开始 船 驶
外卖食品	食物 吃 否 现场
袱子	用具 包扎
腌制	烹调
包圆儿	买 人工物 全
包圆儿	实现
黑山	地方 县 中国 专
轮椅	用具 自移 人 残疾
鸿篇	书刊 伟
病征	现象 医 出现 疾病
橙色	黄
燎泡	现象 医 出现 疾病 部件 皮 动物
延揽人才	雇用 人 能
邻院	人 住下 近
内胎	部件 部件 腿 车
吸睛	诱人
手提袋	用具 样式值 能 携带 放置
三角板	用具 测量
前世	生活状况 问世 人 过去
闽剧	表演物 地方 中国
保安人员	人 职位 保护 警 保证 安
考硕士	经受 考试 教育 成为 人 教育 研究 学习
导火线	原因
导火线	用具 线 传送 火
记得	记得
故辙	方法 旧
混乱状态	现象 纷乱
后勤学	知识 事务 供
清唱剧	表演物
修身	培养 道德 人
斑翅山鹑	禽
苦学	学习 勤
君子	人 高尚
偷听者	人 听 隐秘
财东	人 富
了如指掌	知道
睥睨	看 歪
走偏	出错
鲤鱼	鱼
赛璐珞	材料 用具
毛瑟枪	武器 军 射击
银行资本主义	制度 经济
团体操	事情 锻炼 体育
索非亚	地方 国都 保加利亚 专
胶料	材料 黏 拴连 定住
辅币	货币 商业 金融 次
蓿	文字 中国
挡驾	阻止 看望
女预言家	人 女 预料
无节制	莽
指节	部件 部件 骨 动物 拴连
柳绵	部件 树 生殖
可控硅	用具 控制 电
扎针	医治
飞蓬	花草
父子俩	人 家庭 直系 男 长辈 人 家庭 小辈 直系 男
蚵仔煎	食品 烹调
跑跑颠颠	卖力
解放区	地方 中国 专
高卷式发型	样式 部件 毛 人 女 某
五彩画家	人 艺 画
同盟者	人 结盟
暂住	住下 临时
因被指控	功能词
哪怕	功能词
割胶	采集 材料
血汗	力量 群体 人
民办大学	场所 教育 高等 私 学习 教
迎娶	娶
眼圈	部件 边 部件 眼 动物
支票	票据 钱财 金融
瞠乎其后	追赶 没能力
坐蹲	坐蹲
黑貂皮	部件 材料 皮 兽
上赶	自愿
逗乐	取悦
敝人	人 我
能工巧匠	人 能
博物学	知识
牛肉汁	饮品
聚四氟乙烯	化学物
扬扬得意	满意
科教	事务 教育 知识
欧洲鸡瘟	疾病 禽
和声	好听
和声	声 音乐
谁	功能词 疑问
钟鸣鼎食	发达
前部	部件 身 前 物质
浮游生物	生物
庞杂	杂
开明士绅	人 有学问
总工	人 职位 工
勤劳	勤
绉布	材料 衣物 用具
跟头	事情 滚
廷	机构 官 过去
做头发	化妆 部件 毛 人
穷奢极侈	奢
驻外记者	人 职位 编辑 新闻 采集 新闻
荒诞主义者	人 相信
请赏	要求 示同意 奖励
科威特人	人 科威特
眼科疾病	疾病 部件 眼 动物
袂	部件 部件 臂 衣物
车条	部件 部件 腿 车
专一性	坚定性 动物 坚决
竟自	功能词
代数语言	语言 编辑 软件
谐振	现象 颤动
转变	改变
转变	变
出尔反尔	违背 约定
岷山	陆地 中国 专 凸
匀整	匀称
情势	境况 事件 万物
轰下台	驱赶 设施 艺 表演
没用	无用
井口	部件 口 矿 设施 矿
井口	部件 口 设施 取 水
俯冲轰炸	射击 空域 军
姊	人 家庭 同辈 女 直系
犯罪学	知识 事情 刑事
外表化	变性态 充实
进口	位置 口 建筑物 进入 出去
进口	运送 地方 国家 政 本土 商业
薨逝	死
布里斯班	地方 市 澳大利亚 专
女划手	人 女 驾驭
山姆大叔	机构 美国 政 归属中央 官 管理
鱼胶	材料
生存	活着
拳击手套	运动器材 拳击
寒颤	颤动
蚁丘	虫
见地	念头 认为
学籍	身分 人 学习
以卵击石	争斗 有威力 超
高中一年	等级 教育 场所 教育 中等 学习 教
孤行	蛮干
储量	多少 天然物 矿 存现
欣欣向荣	兴
马达加斯加法郎	货币 马达加斯加
蚊子	虫 疾病
靠伏	倚靠
并	功能词
并	合并
并	同步
变奏	事情 变 音乐 艺
阴险毒辣	歹
牛舌	食品
傻眼	木然
神经生物学	知识 生物
开瓶器	用具 打开 用具 放置
攒盒	用具 放置 食品
怒放	怀孕 植物
可适用	能 利用
拉脱维亚	与特定国家相关 拉脱维亚
拉脱维亚	地方 国家 欧洲 政 专
据点	设施 军
皮货	材料 衣物 用具 部件 皮 兽
有约在先	约定
憋气	气喘
憋气	烦恼
兵工厂	场所 工 军 制造 武器 军
容不得反面意见	忍耐 否 不同意
学霸	人 霸道 有 知识
罗勒	庄稼 材料
青稞酒	饮品 嗜好
嫖娼	寻欢 交配
客机	飞行器 运送 人
钢琴	乐器
圆浑	好听
惧色	表情 害怕 动物
爱德华七世	人 英国 政 皇 元首 专
白砒	化学物 有毒
跑马	事情 锻炼 体育
书页	部件 读物
脲	材料 农 喂 庄稼
冲压	按压 工
襄助	帮助
江孜	地方 县 中国 专
偷营	攻打 军 骤然 设施 军 住下
厘升	单位 容积
情况	境况 事件 万物
神圣不可侵犯	高等
可重获	能 得到
公驴	牲畜 男
奇货可居	珍
导管	部件 络 动物
导管	部件 络 器具
服药	吃 医 药物
吉隆坡	地方 国都 马来西亚 专
手下留情	善待
上下车	进入 车 离开 车
通篇	语文 全面
殚精竭虑	思考 卖力
可回忆	能 记得
套餐	食物
有业务往来	从事 事务 商业
凉意	现象 凉
内涵的	深奥 指代
野马	走兽 野生
审稿	查 语文
整形	事情 切削 医 医治
孔夫子	人 中国 文 专 编辑 书刊
女中丈夫	人 能 勇 女 高尚
头版	部件 书刊 出版 新闻
期冀	期望 急切
大虾	鱼
神汉	人 罪恶 欺骗
面具	用具 假装
面不改色心不跳	镇静
博学多闻	有学问
肃然	庄
竹笋排骨汤	食品 液态 烹调
钢筋	材料 金属 线
虚岁	年龄 生物
走神	心不在焉
波托马克	地方 区 地方 国都 美国 专 专
揭发	揭露
邮电	事务 邮寄
舀	名量 无生物
舀	捞起
马盖特	地方 市 英国 专
淡然处之	轻视
邗	地方 中国 专
鳞癌	疾病 肿胀 不会 医 控制
照片	图像 拍摄
闷热	热
讯号	信息
滂沱	强
地标	标志 部件 边 地方
简括	扼要
卫道者	人 保护 道德 正统
枝条	部件 肢 植物
边防哨	设施 军 防守 部件 边 地方 国家 政
穿破	损害 穿戴
节减	削减
亚门	群体 生物
一网打尽	捉住
返	返回
矬	身矮
织出	辫编
惧	害怕
收受	收受
中华	地方 国家 亚洲 政 专
中华	族群 中国
恒山	陆地 中国 专 凸
中农	人 职位 农
验尸	查 部件 身 动物 死 医
拿人	捣乱
不停	间断 否
刮宫	医治
春假	时间 春 消闲 休息
译名	姓名 词语 翻译
管窥之见	念头 认为 特定 我
他们	人 他 众
他们	特定 他 众
听候	等待
可预付	能 付
媚惑	使误知 举止 诱人
实说	说 直率
鼷	走兽
树莓	水果
西班牙文	语言 西班牙 专
瞧不起	轻视
脯	食品 水果
脯	食品 部件 肉 动物
脯	部件 部件 身 动物
佚	逃跑
佚	失去
佚	现象 闲
佚	强过
近来	新近
行贿	赠 有罪 勾引
营利	谋取 经济 钱财
人造黄油	食品 植物 人为
补语	部件 语言
开发区	地方 制造 研究
东道国	地方 国家 政 招待
素性	举止 生物 原
扯上关系	关联
少男	人 少儿 男
贺岁片	表演物 祝贺
受苦	遭受 现象 悲惨
临死	时间特性 时间 靠近 死
市长	人 职位 官 管理 地方 市
吾	人 我
吾	人 我 众
吾	特定 我
吾	特定 我 众
传闻	功能词
传闻	信息 不精确 传播 隐秘
检索	寻
搅闹	捣乱
附送	赠
疲劳	疲乏
蚝豉	食品
纽约州立大学奥尔巴尼分校	场所 美国 教育 高等 专 学习 教
荜	配件 建筑物 阻止
荜	蔬菜
汽车工业	事务 制造 车 自动
包装盒	用具 包扎
书卷	书刊
米粉	食品
米粉	材料 食物 庄稼
拐子	人 有罪 骗
拐子	人 残疾 部件 腿 动物 走
划等号	使相等
晾	使净 揭露 气 天象 洁
粉身碎骨	死
雷雨云	云雾
撕下	破开 达成
团籍	归属 人 团体 中国 政 专 人 青年
火腿三文治	食品 烹调
抱养	饲养
艺人	人 职位 艺 表演
犯法	违背 律法
并拢	合并
剪子	用具 折断
火急	急
矮松	树
垂问	问 柔
仰靠	依靠
抛物面镜	用具 看
百花凤翼	食品 烹调
别处	位置 另
盛事	事情 庄
胚根鞘	部件 部件 根 植物
解剖刀	用具 医 医治 切削 破开
对耳轮	部件 部件 动物 听
该当	功能词
方位	位置
黑醋栗	水果
叼走	衔起 离开
喜歌	音乐 唱 祝贺 结婚
喜歌	语文 祝贺
酵	变性态
毫无二致	相同
瘼	文字 中国
中人	人 职位 商业 连接
中人	人 商业
蓄电池	用具 制造 电
关怀备至	注意
七十多岁	年龄 人 老年
披拂	摆动
晕船	昏迷 搭乘 船
勰	文字 中国
直快	车 快 驶 道路 材料 车 金属 线 运送 人
留尼汪岛	陆地 水域 马达加斯加 专
学前教育	事务 教 少儿 教育
恐水病	疾病
肖像名片	用具 展示 姓名 职位 身分 图像 人
北大西洋公约组织	团体 军 政 专 建立 地方 国家 欧洲 众
走低	衰败
计价	计算 价格 经济
布鲁塞尔	地方 国都 比利时 专
务	功能词
务	事务
务	从事
务	姓
合唱队	团体 唱 共同
存续	继续 存在
夜幕低垂	时间 夜 晚期
招呼	问候
招呼	照料
招呼	喊
招呼	告诉
钟表	用具 告诉 时间
风景如画	好看
搂头盖脸	直接
冷却器	用具 制冷
胸部透视	事情 诊察 医 看
献演	表演
秀媚	妖媚
独力	独自
磨破嘴皮	瞎说
协和	适合
电子产品	人工物 性能值 使动 电
纵向地	纵
珍藏	保存
扦	用具 定住
技术人员	人 职位 工
单语词典	书刊 词语
挖土机	用具 挖掘 土石
剧烈	强
前配偶	人 家庭 过去 特定 配偶
头发	部件 毛 人
实物	人工物
实物	物质
锑	金属 化学
垃圾场	设施 留存 废物
反侦察	争斗 人 军 政 侦察 信息 组织 敌 军 政 侦察
穿梭	来回
爵士乐队	团体 艺 表演 音乐
商德	道德 商业 人 职位 商业
下流坯	人 浮 男
臼齿	部件 动物 啃咬
着力	卖力
不能缓和	不会 削弱
萧森	荒
针锋相对	违背
绿	绿
受权	收受 权利
赚大钱	赚 钱财 多
揪心	着急
行驶证	文书 示同意 自移
队形	物形
衅	事情 争吵
遭遇到	遭受
实事求是	诚实
水稻	庄稼
白纸黑字	清晰
站长	人 职位 官 管理 设施 搬动 车 人工物 人 装载 车 人工物 人
公益信托	钱财 委托
收缩	部件他移
收缩	聚集
收缩	缩小
收缩	缩小 部件 心 部件 脏 动物 循环
监牢	场所 警 扣住 人 有罪 处罚 人 有罪
横剖面	部件 面 物质
闽南	位置 地方 省 中国 专
强劲	强
外交使团	团体 职位 外交 官
文法学家	人 有 知识 规矩 语言
女子七项全能	事情 锻炼 体育
连珠	连续
嫩红	红 淡
线报	信息 警
免疫反应	事情 回应 能 医 免除 遭受 传染
天安门事件	事情 中国 专
手泽	读物 过去
眼皮子底下	位置 近
废品商人	人 职位 商业 处理 废物
教导员	人 军队 官 争斗 军
涌流	喷出
洞察力	洞察力 人
侏罗纪	时间 过去
嵩山	陆地 中国 专 凸
钱币	货币 商业 金融
仁荷大学	场所 韩国 教育 高等 专 学习 教
肋	部件 部件 身 动物
节能	节省 力量 物质
斗篷	衣物 包含 部件 部件 臂 衣物 否
矢车菊	花草
儋	地方 中国 专
托架	用具 支撑
检录	计数 人 比赛 体育
骅骝	牲畜 红
南斯拉夫首都	地方 国都 南斯拉夫 专
政治委员	人 职位 政 官
借酒浇愁	消除 喝 饮品 嗜好 情感 着急
东芝	场所 日本 工 专 制造 电脑
东芝	电脑 样式值 能 携带 特定牌子
酸白菜川丸子砂锅	食品 液态 烹调
药末	药物
铸	制造
荒郊野地	陆地 荒
千辛万苦	现象 悲惨
巧辩	辩论 巧
风水先生	人 告诉 信息 大地
车轱辘话	语文 重复
斜	歪
职业妇女	人 职位 成年 女
湘妃竹	树
言者无罪	是 无罪 人 说
切削	切削 工
同上	似
落败	输掉
纸一样的薄	薄
有机化合物	化学物
台底下	团体 全面 听 看
化学性质	属性 化学 物质
鸡心领	部件 头 衣物
积郁成疾	发生 忧愁 超 疾病
守口如瓶	不说
置身局外	从事 否
奈	功能词
玉器	用具 装饰
允诺	同意
允诺	保证
乌涂	不直率
乌涂	温
一过性	短时间
卑劣	卑劣
不能辨认	不会 分辨
啻	功能词
月份	时间 月
漏锅	用具 捞起
私营经济	事务 农 经济 工 私
制约	制止
老夫少妻	人 家庭 女 配偶 人 家庭 男 配偶
跌跌撞撞	走 不稳
锦标	用具 奖励
平方毫米	单位 面积
山丹	花草
超然物外	脱离 较量
肘窝	部件 部件 臂 人
乒乓球台	运动器材 乒乓球
胀气	现象 医 出现 疾病
卫生院	场所 医 医治 疾病
昔年	时间 年 众 过去
烤肉	食品 烹调
眼角膜	部件 部件 眼 动物
舞场	场所 表演 娱乐
踽踽独行	走 独自
商埠	地方 市
饲料	物质 喂 兽
饲料	物质 喂 牲畜
检修孔	设施 道路 修理
跅弛	淫
气昂昂	举止值 生气
超高频	频度 事件 快
非营利	特性值 赚 否
建昌县	地方 县 中国 专
太空航空学	知识 飞 飞行器 天体
袼	文字 中国
驱遣	差遣
驱遣	驱赶
贯彻	实施
曳引	拉
讽刺	特性值 嘲讽
讽刺	嘲讽
捅破	揭露
捅破	破开 扎
万丈高楼从地起	词语 要求 建立 部件 根 稳固 万物
星期日夜间	时间 夜 时间 日 周 特定
不燃	不会 焚烧
猪肉沙嗲	食品 烹调
枣红	红
刑事警察	人 职位 警 刑事
养蜂	饲养 农 虫
背靠背	隐秘
背靠背	近
踯躅	走
融融	幸福 和谐
融融	温
流动书店	场所 商业 买 书刊 卖 书刊
窝囊废	人 庸
活体解剖者	人 破开 活着 生物
扑闪	部件他移 部件 眼 人
布帛	材料 衣物 用具
萨其马	食品
积习	习惯 群体 人 有弊
坦白地说	功能词
棒球队员	人 棒球 比赛 锻炼
第二次世界大战	事情 争斗 军 专
精雕细刻	细心
蟆	文字 中国
诚征	召唤 诚心 雇用
骂不绝口	谴责 强
帮忙	帮助
跟头虫	虫
胧	文字 中国
步法	方法 锻炼 娱乐
网评员	人 中国 政 评估 因特网
马克思主义者	人 相信
电容面积	面积 无生物 能力 物质 保存 电
纫	拴连
侧枝	部件 肢 植物
开口子	坏掉
开口子	违背
耕作层	部件 大地
市中心	部件 地方 市 商业 闹
洮南	地方 市 中国 专
捉摸不定	易变
苛性钠	化学物
电解	分离
低空	空域 低
司机	人 职位 驾驭 车 自动
案子	事情 警
案子	家具 放置
现成	已加工
冷淡	慢待
冷淡	轻视
冷淡	冷漠
冷淡	衰
懂	领会
中华人民共和国国务院	机构 中国 专 处理 事务 地方 国家 政
兼之	功能词
商人	人 职位 商业
田字草	花草
囊括	包含
创世纪	部件 书刊 宗教 专
纸老虎	人 单弱 健壮 外观
粗活	事情 从事 陋
插座	配件 用具 连接 电
聪明一世，糊涂一时	愚 短时间
蕙	花草
毫居里	单位 部件 物质
稀缺	缺少 人工物 商业
透明度	清浑 物质
透明度	公开性 举止
阝	部件 文字 中国
单身者	人 未婚
茫然	不知
蒙古族	族群 中国
有法为凭	真 律法
完	功能词 达成
完	无
完	整
完	完毕
完	实现
完	付
骨力	强
平视	看 前 平
不合	适合 否
０	基数
皱痕	痕 皱
带话	传送 信息
仑	次序 实体 事件
末节	部件 不重要 事件 事情
呕血	吐出 部件 体液 红 动物
海量	能力 人 能 喝 嗜好物
海量	气量 人 慷
招人嫌	招惹 厌恶
喙	部件 口 禽
扔	放弃
扔	扔
补课	补做 教
补课	从事 再
昔日	时间 过去
一般过去时	特性 语言
咏赞	夸奖
20年	时间 年
瑞士银行	场所 瑞士 金融 专 留存 货币 取回 货币 借入 货币
累日	长时间 日
商业理论	思想 商业
黏膜炎	疾病 发炎
情况危殆	现象 危 很
发祥地	地方 问世
租子	费用 商业 借入
怀来	地方 县 中国 专
下野	停做 担任 政
言词不恭	说 无礼
可视性	能力 空间 看
节骨眼	部件 重要 万物
节骨眼	时间 重要
榻	家具 躺卧 坐蹲
落山	下去 天体
申请表	文书 要求
遗骨	部件 身 动物 死
喀麦隆首都	地方 国都 喀麦隆 专
飞去来器	运动器材
\	标点
大将	人 军队 官 争斗 军
大将	人 官
